CustomerID,CustomerName,CustomerEmail,Phone,City,Country,SupplierID,SupplierName,ProductID,ProductName,Category,EmployeeID,EmployeeName,SalesOrderID,PurchaseOrderID,InventoryID,PaymentID,ShipmentID,ReturnID,OrderDate,Quantity,UnitPrice,Discount,PaymentMethod,PaymentStatus,ShipmentStatus,Warehouse
1556.0,Carl Contreras,bartondavidexample.org,,Lahore,PAKISTAN,520.0,Nicholson Ltd,2292.0,,IT,148.0,Carlos Patterson,10103.0,20534.0,31858.0,42598.0,52586.0,61466.0,2027-04-21,,,0.0,Cheque,Completed,Completed,Warehouse B
1165.0,jennifer cook,,+922811006055,,KSA,504.0,Jones and Sons,2439.0,TREAT,IT,165.0,,10627.0,22301.0,32309.0,41667.0,52691.0,62719.0,2025-05-05,,599.98,15.0,Cheque,Processing,Completed,
1363.0,,,+923804368951,Karachi,Saudi Arabia,505.0,Klein-Benson Ltd,,Old,Food,165.0,Lindsey James,10605.0,20938.0,32271.0,40595.0,52163.0,62601.0,2026-12-16,69.0,132073.36,10.0,Cheque,Pending,Cancelled,Warehouse C
1474.0, Cynthia Greene ,rogerscandiceexample.com,,Islamabad,Pakistan,668.0,Henry Ltd Ltd,2494.0,Cut,IT,150.0,,,21325.0,31841.0,40544.0,51339.0,62897.0,2026-07-02,,4341.99,15.0,Bank Transfer,Pending,Pending,
1414.0,Brianna Gibson,awalker@example.org,12345,Quetta,PAKISTAN,542.0,Gonzalez LLC,2403.0,FINISH,Food,119.0,,11938.0,21019.0,31365.0,40924.0,50961.0,61276.0,2027-06-19,,440839.87,5.0,Bank Transfer,Cancelled,Pending,
1347.0,,invalid_email,,Peshawar,pakistan,544.0,"Richardson, Richardson and Jones Ltd",2248.0,Official,Fashion,154.0,BRENDA ANDERSON,12732.0,22471.0,31690.0,41565.0,52806.0,60751.0,,84.0,,15.0,Cheque,Completed,Pending,Warehouse B
1576.0,JOSHUA JOHNSON,johntorres@example.net,+923181250754,,UAE,502.0,Jones-Rodriguez Ltd,2209.0,Shake,Furniture,157.0,,12571.0,22699.0,30305.0,40089.0,50131.0,62443.0,,,,,Cheque,Cancelled,Cancelled,
1266.0, Juan Colon ,invalid_email,12345,Peshwar,Pakistan,624.0,Barnett and Sons Ltd,2151.0,Impact,IT,158.0,Stacy Charles,10478.0,22744.0,30534.0,41268.0,52808.0,62232.0,2027-04-12,-5.0,4426.26,15.0,Online,Pending,Pending,Warehouse A
1033.0, Kevin Hutchinson , dianaduke@example.com ,001-740-940-9556x46066,,KSA,563.0,,2010.0,Issue,Food,160.0,,10846.0,22883.0,31429.0,40958.0,52301.0,61599.0,,,349037.55,0.0,Cash,Cancelled,Pending,Warehouse C
1018.0,joshua stanley,hutchinsonjasmine@example.net,+921994177133,,UAE,673.0,,2353.0,Push,Food,,Gregory Lara,11592.0,22187.0,30383.0,40014.0,52026.0,60418.0,,-8.0,438401.83,15.0,Card,Completed,Cancelled,Warehouse A
1416.0,,dawnrichmondexample.net,,Quetta,United Arab Emirates,523.0,,2454.0,In,Fashion,176.0,,12694.0,22432.0,31397.0,41034.0,50452.0,61860.0,,12.0,262669.18,,Cheque,Pending,Processing,
1117.0, Kevin Mcclain ,,,,U.A.E,503.0,,2329.0,ABLE,Food,179.0,Alexandra Smith,,21159.0,32918.0,40381.0,51782.0,61227.0,2025-06-13,,239586.42,15.0,Card,Cancelled,,Warehouse B
1572.0, Stephanie Gamble , qjohnson@example.com ,12345,karachi,KSA,685.0,,2002.0,,Food,179.0,,12236.0,21416.0,32971.0,41058.0,,62173.0,2027-04-20,,427970.25,,Card,Processing,,Warehouse B
1435.0,zachary smith, alyssa95@example.com ,,Quetta,U.A.E,594.0,"Knight, Johnson and Gallegos",2464.0,System,Office,117.0,,12945.0,21685.0,32061.0,41472.0,51014.0,60056.0,,,,15.0,Cheque,,Cancelled,Warehouse C
1247.0,DR. JANET LOPEZ,,+921826752253,Lahore,PAKISTAN,595.0,Jennings-Garcia Ltd,2278.0,,IT,155.0,Tina Gill,11810.0,21222.0,30579.0,42116.0,50144.0,62948.0,2025-01-12,,2179.6,0.0,Cash,Pending,Processing,Warehouse B
1068.0,,,,Qetta,U.A.E,512.0,"Blake, Ashley and Guerra Ltd",2497.0,Big,Food,120.0,RICHARD JAMES,11390.0,21630.0,32761.0,42664.0,52430.0,62155.0,,,,10.0,Bank Transfer,Completed,Cancelled,Warehouse C
1335.0, Joshua Taylor ,agray@example.org,+929575717884,karachi,UAE,656.0,,2495.0,SHE,Furniture,180.0,MARIA WHITE,11664.0,20238.0,30618.0,41973.0,51663.0,62459.0,2027-05-15,,418676.47,15.0,Bank Transfer,Completed,Cancelled,Warehouse B
1204.0,robert lane, leebryant@example.net ,12345,Islamabad ,KSA,619.0,May and Sons Ltd,2083.0,Team,Medical,119.0,Bradley Lee,12693.0,21294.0,31970.0,41524.0,52233.0,61070.0,,-4.0,1050.62,5.0,Bank Transfer,Processing,Pending,Warehouse B
1456.0,,williamgrant@example.org,+927036281137,Qetta,KSA,655.0,Morris LLC,2442.0,,IT,154.0,CARL TURNER,10850.0,21056.0,31796.0,40776.0,51988.0,62680.0,,60.0,105062.6,10.0,Cash,Cancelled,Cancelled,Warehouse B
1378.0,,invalid_email,5494598823,Lahore,Pakistan,529.0,,2171.0,,Medical,161.0,,11395.0,20890.0,32096.0,40169.0,52395.0,60473.0,2027-07-25,,2577.45,5.0,Online,Pending,Processing,Warehouse B
